"Date","Order ID","Type","Detail","Item ID","Document","Price","AU GST","AU RWT","EU VAT","US Sales Tax","US RWT","US BWT","Amount","Site","Other Party Country","Other Party Region","Other Party City","Other Party Zipcode"
"2019-04-03 19:36:20 +1100","102846879","Author Fee","Author Fee for sale IVIP31566745","21194302","","1.75","","","","","","","-1.75","GraphicRiver","","","",""
"2019-04-03 19:36:20 +1100","102846879","Sale","2018 Epic Presentation Template (Regular License)","21194302","IVIP31566745","14.00","","","","","1.40","","12.60","GraphicRiver","United States","California","Covina","91724"
"2019-04-03 18:22:38 +1100","102842346","Author Fee","Author Fee for sale IVIP31565550","21653257","","1.50","","","","","","","-1.50","GraphicRiver","","","",""
"2019-04-03 18:22:38 +1100","102842346","Sale","Vortifity Creative Sport Presentation (Regular License)","21653257","IVIP31565550","12.00","","","","","","","12.00","GraphicRiver","Saudi Arabia","makkah","taif","21944"
"2019-04-03 12:01:16 +1100","102829453","Author Fee","Author Fee for sale IVIP31561703","21194302","","1.75","","","","","","","-1.75","GraphicRiver","","","",""
"2019-04-03 12:01:16 +1100","102829453","Sale","2018 Epic Presentation Template (Regular License)","21194302","IVIP31561703","14.00","","","","","","","14.00","GraphicRiver","Colombia","Cundinamarca","Bogotá",""
"2019-04-03 07:34:11 +1100","102819061","Author Fee","Author Fee for sale IVIP31558760","21449981","","1.50","","","","","","","-1.50","GraphicRiver","","","",""
"2019-04-03 07:34:11 +1100","102819061","Sale","Cora PowerPoint Presentation (Regular License)","21449981","IVIP31558760","12.00","","","","","","","12.00","GraphicRiver","Canada","British Columbia","Victoria","V8R4B9"
"2019-04-03 07:17:11 +1100","102818061","Author Fee","Author Fee for sale IVIP31558463","21194302","","1.75","","","","","","","-1.75","GraphicRiver","","","",""
"2019-04-03 07:17:11 +1100","102818061","Sale","2018 Epic Presentation Template (Regular License)","21194302","IVIP31558463","14.00","","","","","","","14.00","GraphicRiver","Saudi Arabia","Riyadh","Riyadh","33212"
"2019-04-03 03:27:59 +1100","102803171","Author Fee","Author Fee for sale IVIP31553778","23267072","","1.50","","","","","","","-1.50","GraphicRiver","","","",""
"2019-04-03 03:27:59 +1100","102803171","Sale","Zoomin Portfolio & Photography PowerPoint Template (Regular License)","23267072","IVIP31553778","12.00","","","","","","","12.00","GraphicRiver","Portugal","Porto","Porto","4100-393"
"2019-04-03 01:57:17 +1100","102796944","Author Fee","Author Fee for sale IVIP31551916","23508735","","1.50","","","","","","","-1.50","GraphicRiver","","","",""
"2019-04-03 01:57:17 +1100","102796944","Sale","Landmark Construction PowerPoint Template (Regular License)","23508735","IVIP31551916","12.00","","","","","1.20","","10.80","GraphicRiver","United States","Texas","The Woodlands","77381"
"2019-04-03 00:59:51 +1100","102792136","Author Fee","Author Fee for sale IVIP31550548","21194302","","1.75","","","","","","","-1.75","GraphicRiver","","","",""
"2019-04-03 00:59:51 +1100","102792136","Sale","2018 Epic Presentation Template (Regular License)","21194302","IVIP31550548","14.00","","","","","","","14.00","GraphicRiver","Brazil","SP","São Paulo","01551-040"
"2019-04-02 23:34:21 +1100","102786550","Author Fee","Author Fee for sale IVIP31548856","19360995","","1.50","","","","","","","-1.50","GraphicRiver","","","",""
"2019-04-02 23:34:21 +1100","102786550","Sale","Mukidi Vertical Premium Presentation (Regular License)","19360995","IVIP31548856","12.00","","","","","","","12.00","GraphicRiver","Turkey","","istanbul",""
"2019-04-02 23:33:55 +1100","102786569","Author Fee","Author Fee for sale IVIP31548848","23236367","","1.50","","","","","","","-1.50","GraphicRiver","","","",""
"2019-04-02 23:33:55 +1100","102786569","Sale","Oriento Tourism PowerPoint Template (Regular License)","23236367","IVIP31548848","12.00","","","","","1.20","","10.80","GraphicRiver","United States","Ohio","Freeport","43973"
"2019-04-02 21:46:57 +1100","102780087","Author Fee","Author Fee for sale IVIP31547002","19564408","","1.50","","","","","","","-1.50","GraphicRiver","","","",""
"2019-04-02 21:46:57 +1100","102780087","Sale","Exquisite Multipurpose Presentation Template (Regular License)","19564408","IVIP31547002","12.00","","","","","","","12.00","GraphicRiver","France","","Lourches","59156"
"2019-04-02 20:52:34 +1100","102776749","Author Fee","Author Fee for sale IVIP31545992","21194302","","1.75","","","","","","","-1.75","GraphicRiver","","","",""
"2019-04-02 20:52:34 +1100","102776749","Sale","2018 Epic Presentation Template (Regular License)","21194302","IVIP31545992","14.00","","","","","","","14.00","GraphicRiver","Germany","","Düsseldorf","40547"
"2019-04-02 09:16:07 +1100","102750413","Author Fee","Author Fee for sale IVIP31538502","21194302","","1.75","","","","","","","-1.75","GraphicRiver","","","",""
"2019-04-02 09:16:07 +1100","102750413","Sale","2018 Epic Presentation Template (Regular License)","21194302","IVIP31538502","14.00","","","","","","","14.00","GraphicRiver","Australia","New South Wales","SYDNEY","2000"
"2019-04-02 08:29:07 +1100","102748483","Author Fee","Author Fee for sale IVIP31537919","23508735","","1.50","","","","","","","-1.50","GraphicRiver","","","",""
"2019-04-02 08:29:07 +1100","102748483","Sale","Landmark Construction PowerPoint Template (Regular License)","23508735","IVIP31537919","12.00","","","","","1.20","","10.80","GraphicRiver","United States","California","LOS ANGELES","90017"
"2019-04-02 07:31:57 +1100","102745371","Author Fee","Author Fee for sale IVIP31536997","21620470","","1.50","","","","","","","-1.50","GraphicRiver","","","",""
"2019-04-02 07:31:57 +1100","102745371","Sale","Capone Automotive Presentation Template (Regular License)","21620470","IVIP31536997","12.00","","","","","","","12.00","GraphicRiver","Saudi Arabia","","Riyadh",""
"2019-04-02 02:38:14 +1100","102726865","Author Fee","Author Fee for sale IVIP31531442","21194302","","1.75","","","","","","","-1.75","GraphicRiver","","","",""
"2019-04-02 02:38:14 +1100","102726865","Sale","2018 Epic Presentation Template (Regular License)","21194302","IVIP31531442","14.00","","","","","","","14.00","GraphicRiver","Peru","Lima","Lima","0051"
"2019-04-02 01:21:48 +1100","102722001","Author Fee","Author Fee for sale IVIP31529871","21338851","","1.50","","","","","","","-1.50","GraphicRiver","","","",""
"2019-04-02 01:21:48 +1100","102722001","Sale","2018 Epic Keynote Presentation (Regular License)","21338851","IVIP31529871","12.00","","","","","","","12.00","GraphicRiver","Estonia","-","Tallinn","11616"
"2019-04-01 22:58:05 +1100","102712895","Author Fee","Author Fee for sale IVIP31527218","20261194","","1.88","","","","","","","-1.88","GraphicRiver","","","",""
"2019-04-01 22:58:05 +1100","102712895","Sale","Glory Presentation - Business Pack Powerpoint Template (Regular License)","20261194","IVIP31527218","15.00","","","","","","","15.00","GraphicRiver","Brazil","","nhawind",""
"2019-04-01 17:55:53 +1100","102696058","Author Fee","Author Fee for sale IVIP31522444","23079995","","1.50","","","","","","","-1.50","GraphicRiver","","","",""
"2019-04-01 17:55:53 +1100","102696058","Sale","2019 Project Multipurpose Presentation Template (Regular License)","23079995","IVIP31522444","12.00","","","","","","","12.00","GraphicRiver","Russian Federation","","rostov",""
"2019-04-01 12:47:48 +1100","102687454","Author Fee","Author Fee for sale IVIP31519826","22401888","","1.50","","","","","","","-1.50","GraphicRiver","","","",""
"2019-04-01 12:47:48 +1100","102687454","Sale","Milestate Real Estate PowerPoint Presentation Template (Regular License)","22401888","IVIP31519826","12.00","","","","","","","12.00","GraphicRiver","Taiwan","Taiwan","Taipei","10065 "
"2019-04-01 10:15:48 +1100","102684295","Author Fee","Author Fee for sale IVIP31518949","23508735","","1.50","","","","","","","-1.50","GraphicRiver","","","",""
"2019-04-01 10:15:48 +1100","102684295","Sale","Landmark Construction PowerPoint Template (Regular License)","23508735","IVIP31518949","12.00","","","","","1.20","","10.80","GraphicRiver","United States","Massachusetts","Lynn","01904"
"2019-04-01 04:46:14 +1100","102672758","Author Fee","Author Fee for sale IVIP31515828","21194302","","0.88","","","","","","","-0.88","GraphicRiver","","","",""
"2019-04-01 04:46:14 +1100","102672758","Sale","2018 Epic Presentation Template (Regular License)","21194302","IVIP31515828","7.00","","","","","0.70","","6.30","GraphicRiver","United States","California","Canyon Country","91351"
"2019-04-01 03:42:51 +1100","102670178","Author Fee","Author Fee for sale IVIP31515145","22977348","","1.50","","","","","","","-1.50","GraphicRiver","","","",""
"2019-04-01 03:42:51 +1100","102670178","Sale","2019 Christmas Celebration PowerPoint Template (Regular License)","22977348","IVIP31515145","12.00","","","","","","","12.00","GraphicRiver","Russian Federation","","Saint-Petersburg",""
"2019-04-01 00:13:39 +1100","","Payout","Via Payoneer","","","","","","","","","","-2069.43","","","","",""
"2019-03-31 22:56:50 +1100","102659214","Author Fee","Author Fee for sale IVIP31512438","22485714","","1.50","","","","","","","-1.50","GraphicRiver","","","",""
"2019-03-31 22:56:50 +1100","102659214","Sale","Native Minimalist Portrait Version PowerPoint Template (Regular License)","22485714","IVIP31512438","12.00","","","","","","","12.00","GraphicRiver","United Kingdom","","Manchester","m1 5gd"
"2019-03-31 10:15:54 +1100","102642449","Author Fee","Author Fee for sale IVIP31507927","21974842","","1.50","","","","","","","-1.50","GraphicRiver","","","",""
"2019-03-31 10:15:54 +1100","102642449","Sale","Ability Sports Presentation Template (Regular License)","21974842","IVIP31507927","12.00","","","","","1.20","","10.80","GraphicRiver","United States","Georgia","Atlanta ","30308"
"2019-03-31 09:12:37 +1100","102640830","Author Fee","Author Fee for sale IVIP31507487","21481996","","1.50","","","","","","","-1.50","GraphicRiver","","","",""
"2019-03-31 09:12:37 +1100","102640830","Sale","Determination PowerPoint Presentation Template (Regular License)","21481996","IVIP31507487","12.00","","","","","","","12.00","GraphicRiver","Egypt","","Cairo",""
"2019-03-31 06:22:33 +1100","102635468","Author Fee","Author Fee for sale IVIP31506124","19136137","","1.50","","","","","","","-1.50","GraphicRiver","","","",""
"2019-03-31 06:22:33 +1100","102635468","Sale","Christmas Happiness PowerPoint Template (Regular License)","19136137","IVIP31506124","12.00","","","","","","","12.00","GraphicRiver","Korea, Republic of","","Seoul",""
"2019-03-31 04:38:55 +1100","102631450","Author Fee","Author Fee for sale IVIP31505092","20717718","","1.50","","","","","","","-1.50","GraphicRiver","","","",""
"2019-03-31 04:38:55 +1100","102631450","Sale","Imagine PowerPoint Template (Regular License)","20717718","IVIP31505092","12.00","","","","","1.20","","10.80","GraphicRiver","United States","Illinois","Chicago","60607"
"2019-03-31 02:07:21 +1100","102625286","Author Fee","Author Fee for sale IVIP31503471","21194302","","0.88","","","","","","","-0.88","GraphicRiver","","","",""
"2019-03-31 02:07:21 +1100","102625286","Sale","2018 Epic Presentation Template (Regular License)","21194302","IVIP31503471","7.00","","","","","","","7.00","GraphicRiver","Spain","Valencian Community","Altea","03590"
"2019-03-30 10:15:18 +1100","102600501","Author Fee","Author Fee for sale IVIP31497225","21194302","","0.88","","","","","","","-0.88","GraphicRiver","","","",""
"2019-03-30 10:15:18 +1100","102600501","Sale","2018 Epic Presentation Template (Regular License)","21194302","IVIP31497225","7.00","","","","","0.70","","6.30","GraphicRiver","United States","Massachusetts","Tewksbury","01876"
"2019-03-30 09:47:49 +1100","102599649","Author Fee","Author Fee for sale IVIP31496982","23383582","","1.75","","","","","","","-1.75","GraphicRiver","","","",""
"2019-03-30 09:47:49 +1100","102599649","Sale","Big Project - Multipurpose Infographic Template (Regular License)","23383582","IVIP31496982","14.00","","","","","","","14.00","GraphicRiver","Brazil","Minas Gerais","Campestre","37730000"
"2019-03-30 04:51:47 +1100","102586122","Author Fee","Author Fee for sale IVIP31493037","23172626","","1.50","","","","","","","-1.50","GraphicRiver","","","",""
"2019-03-30 04:51:47 +1100","102586122","Sale","Autoventure Automotive PowerPoint Template (Regular License)","23172626","IVIP31493037","12.00","","","","","","","12.00","GraphicRiver","Italy","Italy","Manerba del Garda","25080"
"2019-03-30 03:56:10 +1100","102582778","Author Fee","Author Fee for sale IVIP31492114","23383582","","1.75","","","","","","","-1.75","GraphicRiver","","","",""
"2019-03-30 03:56:10 +1100","102582778","Sale","Big Project - Multipurpose Infographic Template (Regular License)","23383582","IVIP31492114","14.00","","","","","","","14.00","GraphicRiver","Mayotte","","Mamoudzou","97600"
"2019-03-30 02:06:39 +1100","102575587","Author Fee","Author Fee for sale IVIP31489848","22666736","","1.50","","","","","","","-1.50","GraphicRiver","","","",""
"2019-03-30 02:06:39 +1100","102575587","Sale","Claricine Medical PowerPoint Template (Regular License)","22666736","IVIP31489848","12.00","","","","","1.20","","10.80","GraphicRiver","United States","California","San Ysidro","92173"
"2019-03-30 01:17:09 +1100","102572298","Author Fee","Author Fee for sale IVIP31488817","23172626","","1.50","","","","","","","-1.50","GraphicRiver","","","",""
"2019-03-30 01:17:09 +1100","102572298","Sale","Autoventure Automotive PowerPoint Template (Regular License)","23172626","IVIP31488817","12.00","","","","","","","12.00","GraphicRiver","Germany","Deutschland","Ravensburg","88212"
"2019-03-29 22:55:03 +1100","102564032","Author Fee","Author Fee for sale IVIP31486391","22733329","","1.50","","","","","","","-1.50","GraphicRiver","","","",""
"2019-03-29 22:55:03 +1100","102564032","Sale","Tropical Travel Presentation Template (Regular License)","22733329","IVIP31486391","12.00","","","","","","","12.00","GraphicRiver","Spain","Canary Islands","Puerto del Rosario","35600"
"2019-03-29 22:39:43 +1100","102563172","Author Fee","Author Fee for sale IVIP31486130","21194302","","0.88","","","","","","","-0.88","GraphicRiver","","","",""
"2019-03-29 22:39:43 +1100","102563172","Sale","2018 Epic Presentation Template (Regular License)","21194302","IVIP31486130","7.00","","","","","","","7.00","GraphicRiver","Germany","","München","80797"
"2019-03-29 20:23:50 +1100","102555558","Author Fee","Author Fee for sale IVIP31483801","23383582","","1.75","","","","","","","-1.75","GraphicRiver","","","",""
"2019-03-29 20:23:50 +1100","102555558","Sale","Big Project - Multipurpose Infographic Template (Regular License)","23383582","IVIP31483801","14.00","","","","","","","14.00","GraphicRiver","Saudi Arabia","Eastern Province","Dammam","31471"
"2019-03-29 20:11:13 +1100","102554905","Author Fee","Author Fee for sale IVIP31483586","23079995","","1.50","","","","","","","-1.50","GraphicRiver","","","",""
"2019-03-29 20:11:13 +1100","102554905","Sale","2019 Project Multipurpose Presentation Template (Regular License)","23079995","IVIP31483586","12.00","","","","","","","12.00","GraphicRiver","Estonia","Harjumaa","Tallinn","10127"
"2019-03-29 13:33:52 +1100","102541103","Author Fee","Author Fee for sale IVIP31479690","21996439","","1.50","","","","","","","-1.50","GraphicRiver","","","",""
"2019-03-29 13:33:52 +1100","102541103","Sale","Vanilla Food and Culinary PowerPoint Template (Regular License)","21996439","IVIP31479690","12.00","","","","","","","12.00","GraphicRiver","United Arab Emirates","","Dubai",""
"2019-03-29 08:35:46 +1100","102531139","Author Fee","Author Fee for sale IVIP31476629","21194302","","0.88","","","","","","","-0.88","GraphicRiver","","","",""
"2019-03-29 08:35:46 +1100","102531139","Sale","2018 Epic Presentation Template (Regular License)","21194302","IVIP31476629","7.00","","","","","","","7.00","GraphicRiver","France","","35",""
"2019-03-29 07:05:56 +1100","102526174","Author Fee","Author Fee for sale IVIP31475060","21194302","","0.88","","","","","","","-0.88","GraphicRiver","","","",""
"2019-03-29 07:05:56 +1100","102526174","Sale","2018 Epic Presentation Template (Regular License)","21194302","IVIP31475060","7.00","","","","","","","7.00","GraphicRiver","Canada","Ontario","Scarborough","M1H2N8"
"2019-03-29 04:45:25 +1100","102518020","Author Fee","Author Fee for sale IVIP31472657","21626584","","1.50","","","","","","","-1.50","GraphicRiver","","","",""
"2019-03-29 04:45:25 +1100","102518020","Sale","Magnificent Keynote Presentation Template (Regular License)","21626584","IVIP31472657","12.00","","","","","1.20","","10.80","GraphicRiver","United States","New Jersey","spring lake","07762"
"2019-03-29 04:45:24 +1100","102518020","Author Fee","Author Fee for sale IVIP31472655","19495366","","1.50","","","","","","","-1.50","GraphicRiver","","","",""
"2019-03-29 04:45:24 +1100","102518020","Sale","Golazo Keynote Presentation (Regular License)","19495366","IVIP31472655","12.00","","","","","1.20","","10.80","GraphicRiver","United States","New Jersey","spring lake","07762"
"2019-03-29 04:43:01 +1100","102517825","Author Fee","Author Fee for sale IVIP31472613","19564408","","1.50","","","","","","","-1.50","GraphicRiver","","","",""
"2019-03-29 04:43:01 +1100","102517825","Sale","Exquisite Multipurpose Presentation Template (Regular License)","19564408","IVIP31472613","12.00","","","","","1.20","","10.80","GraphicRiver","United States","Texas","Houston","77004"
"2019-03-29 02:47:51 +1100","102509553","Author Fee","Author Fee for sale IVIP31470164","21892612","","1.50","","","","","","","-1.50","GraphicRiver","","","",""
"2019-03-29 02:47:51 +1100","102509553","Sale","Grow-Tech Startup PowerPoint Presentation Template (Regular License)","21892612","IVIP31470164","12.00","","","","","","","12.00","GraphicRiver","France","","Metz-Tessy","74370"
"2019-03-29 01:01:02 +1100","102500477","Author Fee","Author Fee for sale IVIP31467496","21194302","","0.88","","","","","","","-0.88","GraphicRiver","","","",""
"2019-03-29 01:01:02 +1100","102500477","Sale","2018 Epic Presentation Template (Regular License)","21194302","IVIP31467496","7.00","","","","","","","7.00","GraphicRiver","Malaysia","Selangor","Subang Jaya","47500"
"2019-03-29 00:40:06 +1100","102500240","Author Fee","Author Fee for sale IVIP31467010","22666736","","1.50","","","","","","","-1.50","GraphicRiver","","","",""
"2019-03-29 00:40:06 +1100","102500240","Sale","Claricine Medical PowerPoint Template (Regular License)","22666736","IVIP31467010","12.00","","","","","","","12.00","GraphicRiver","Russian Federation","","Moscow",""
"2019-03-29 00:15:55 +1100","102498400","Author Fee","Author Fee for sale IVIP31466492","21055619","","1.50","","","","","","","-1.50","GraphicRiver","","","",""
"2019-03-29 00:15:55 +1100","102498400","Sale","Instrooment Creative PowerPoint Template (Regular License)","21055619","IVIP31466492","12.00","","","","","","","12.00","GraphicRiver","Jordan","Jordan","Amman","11195"
"2019-03-28 23:50:10 +1100","102496683","Author Fee","Author Fee for sale IVIP31465953","21892612","","1.50","","","","","","","-1.50","GraphicRiver","","","",""
"2019-03-28 23:50:10 +1100","102496683","Sale","Grow-Tech Startup PowerPoint Presentation Template (Regular License)","21892612","IVIP31465953","12.00","","","","","","","12.00","GraphicRiver","Italy","Bergamo","Bariano","24050"
"2019-03-28 23:22:22 +1100","102494089","Author Fee","Author Fee for sale IVIP31465499","21194302","","0.88","","","","","","","-0.88","GraphicRiver","","","",""
"2019-03-28 23:22:22 +1100","102494089","Sale","2018 Epic Presentation Template (Regular License)","21194302","IVIP31465499","7.00","","","","","","","7.00","GraphicRiver","India","","LUCKNOW",""
"2019-03-28 22:23:15 +1100","102491484","Author Fee","Author Fee for sale IVIP31464508","17844625","","1.50","","","","","","","-1.50","GraphicRiver","","","",""
"2019-03-28 22:23:15 +1100","102491484","Sale","Golazo PowerPoint Presentation (Regular License)","17844625","IVIP31464508","12.00","","","","","","","12.00","GraphicRiver","Spain","Andalusia","Granada","18001"
"2019-03-28 22:16:37 +1100","102491043","Author Fee","Author Fee for sale IVIP31464373","22349088","","1.50","","","","","","","-1.50","GraphicRiver","","","",""
"2019-03-28 22:16:37 +1100","102491043","Sale","Excellent Portrait A4 PowerPoint Presentation Template (Regular License)","22349088","IVIP31464373","12.00","","","","","","","12.00","GraphicRiver","Spain","Galicia","pontevedra","36002"
"2019-03-28 22:00:08 +1100","102489890","Author Fee","Author Fee for sale IVIP31464068","21228594","","1.50","","","","","","","-1.50","GraphicRiver","","","",""
"2019-03-28 22:00:08 +1100","102489890","Sale","Native Minimalist PowerPoint Template (Regular License)","21228594","IVIP31464068","12.00","","","","","","","12.00","GraphicRiver","Germany","","Berlin","10965"
"2019-03-28 20:42:29 +1100","102484887","Author Fee","Author Fee for sale IVIP31462577","19495366","","1.50","","","","","","","-1.50","GraphicRiver","","","",""
"2019-03-28 20:42:29 +1100","102484887","Sale","Golazo Keynote Presentation (Regular License)","19495366","IVIP31462577","12.00","","","","","","","12.00","GraphicRiver","Spain","Basque Country","vitoria","01005"
"2019-03-28 19:51:30 +1100","102481368","Author Fee","Author Fee for sale IVIP31461659","22605114","","1.50","","","","","","","-1.50","GraphicRiver","","","",""
"2019-03-28 19:51:30 +1100","102481368","Sale","Cryptos - Crypto Currency PowerPoint Template (Regular License)","22605114","IVIP31461659","12.00","","","","","","","12.00","GraphicRiver","Ukraine","","Donetsk",""
"2019-03-28 18:54:40 +1100","102478704","Author Fee","Author Fee for sale IVIP31460832","21620470","","1.50","","","","","","","-1.50","GraphicRiver","","","",""
"2019-03-28 18:54:40 +1100","102478704","Sale","Capone Automotive Presentation Template (Regular License)","21620470","IVIP31460832","12.00","","","","","","","12.00","GraphicRiver","Germany","","Frankfurt am Main","60594"
"2019-03-28 18:32:43 +1100","102477696","Author Fee","Author Fee for sale IVIP31460505","17844625","","1.50","","","","","","","-1.50","GraphicRiver","","","",""
"2019-03-28 18:32:43 +1100","102477696","Sale","Golazo PowerPoint Presentation (Regular License)","17844625","IVIP31460505","12.00","","","","","","","12.00","GraphicRiver","Romania","sector 4","bucharest","040031"
"2019-03-28 13:58:02 +1100","102468472","Author Fee","Author Fee for sale IVIP31457834","18425680","","1.50","","","","","","","-1.50","GraphicRiver","","","",""
"2019-03-28 13:58:02 +1100","102468472","Sale","Mukidi Premium Presentation (Regular License)","18425680","IVIP31457834","12.00","","","","","","","12.00","GraphicRiver","Australia","New South Wales","Sydney","2023"
"2019-03-28 11:52:10 +1100","102464237","Author Fee","Author Fee for sale IVIP31456404","19360995","","1.50","","","","","","","-1.50","GraphicRiver","","","",""
"2019-03-28 11:52:10 +1100","102464237","Sale","Mukidi Vertical Premium Presentation (Regular License)","19360995","IVIP31456404","12.00","","","","","","","12.00","GraphicRiver","Australia","New South Wales","Sydney","2023"
"2019-03-28 11:15:46 +1100","102463070","Author Fee","Author Fee for sale IVIP31455984","21194302","","0.88","","","","","","","-0.88","GraphicRiver","","","",""
"2019-03-28 11:15:46 +1100","102463070","Sale","2018 Epic Presentation Template (Regular License)","21194302","IVIP31455984","7.00","","","","","0.70","","6.30","GraphicRiver","United States","Texas","Round Rock","78665"
"2019-03-28 08:58:00 +1100","102457518","Author Fee","Author Fee for sale IVIP31454202","21194302","","0.88","","","","","","","-0.88","GraphicRiver","","","",""
"2019-03-28 08:58:00 +1100","102457518","Sale","2018 Epic Presentation Template (Regular License)","21194302","IVIP31454202","7.00","","","","","","","7.00","GraphicRiver","France","","Montclar","04140"
"2019-03-28 05:52:29 +1100","102446341","Author Fee","Author Fee for sale IVIP31450765","21194302","","0.88","","","","","","","-0.88","GraphicRiver","","","",""
"2019-03-28 05:52:29 +1100","102446341","Sale","2018 Epic Presentation Template (Regular License)","21194302","IVIP31450765","7.00","","","","","","","7.00","GraphicRiver","Netherlands","","harderwijk","3844nb"
"2019-03-28 03:06:19 +1100","102434108","Author Fee","Author Fee for sale IVIP31446917","22738131","","1.50","","","","","","","-1.50","GraphicRiver","","","",""
"2019-03-28 03:06:19 +1100","102434108","Sale","Ceremony Education PowerPoint Template (Regular License)","22738131","IVIP31446917","12.00","","","","","1.20","","10.80","GraphicRiver","United States","Arizona","Phoenix","85042"
"2019-03-28 00:35:41 +1100","102421533","Author Fee","Author Fee for sale IVIP31443001","21798453","","1.50","","","","","","","-1.50","GraphicRiver","","","",""
"2019-03-28 00:35:41 +1100","102421533","Sale","Good Food Keynote Presentation Template (Regular License)","21798453","IVIP31443001","12.00","","","","","","","12.00","GraphicRiver","South Africa","","Cape Town Area, South Africa",""
"2019-03-28 00:32:08 +1100","102421255","Author Fee","Author Fee for sale IVIP31442916","21194302","","0.88","","","","","","","-0.88","GraphicRiver","","","",""
"2019-03-28 00:32:08 +1100","102421255","Sale","2018 Epic Presentation Template (Regular License)","21194302","IVIP31442916","7.00","","","","","0.70","","6.30","GraphicRiver","United States","Colorado","Parker","80138"
"2019-03-27 22:05:08 +1100","102411087","Author Fee","Author Fee for sale IVIP31439996","23383582","","1.75","","","","","","","-1.75","GraphicRiver","","","",""
"2019-03-27 22:05:08 +1100","102411087","Sale","Big Project - Multipurpose Infographic Template (Regular License)","23383582","IVIP31439996","14.00","","","","","","","14.00","GraphicRiver","India","Karnataka","Bangalore","560102"
"2019-03-27 07:45:40 +1100","102373053","Author Fee","Author Fee for sale IVIP31428745","21620470","","1.50","","","","","","","-1.50","GraphicRiver","","","",""
"2019-03-27 07:45:40 +1100","102373053","Sale","Capone Automotive Presentation Template (Regular License)","21620470","IVIP31428745","12.00","","","","","1.20","","10.80","GraphicRiver","United States","Virginia","Blacksburg","24060"
"2019-03-27 05:40:56 +1100","102364999","Author Fee","Author Fee for sale IVIP31426205","21194302","","0.88","","","","","","","-0.88","GraphicRiver","","","",""
"2019-03-27 05:40:56 +1100","102364999","Sale","2018 Epic Presentation Template (Regular License)","21194302","IVIP31426205","7.00","","","","","0.70","","6.30","GraphicRiver","United States","California","Sunnyvale","94085"
"2019-03-27 04:13:07 +1100","102358949","Author Fee","Author Fee for sale IVIP31424436","19360995","","1.50","","","","","","","-1.50","GraphicRiver","","","",""
"2019-03-27 04:13:07 +1100","102358949","Sale","Mukidi Vertical Premium Presentation (Regular License)","19360995","IVIP31424436","12.00","","","","","1.20","","10.80","GraphicRiver","United States","Massachusetts","Boston","02114"
"2019-03-27 00:37:38 +1100","102341043","Author Fee","Author Fee for sale IVIP31418989","22738131","","1.50","","","","","","","-1.50","GraphicRiver","","","",""
"2019-03-27 00:37:38 +1100","102341043","Sale","Ceremony Education PowerPoint Template (Regular License)","22738131","IVIP31418989","12.00","","","","","","","12.00","GraphicRiver","Switzerland","","Sion","1950"
